Fri Sep 22 17:58:09 2023    cProfile.prof

         154432090 function calls (151731458 primitive calls) in 116.544 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6440    0.005    0.000    0.039    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:797(mpf_sub)
     8000    0.006    0.000    0.038    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:216(transpose)
     4021    0.007    0.000    0.036    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:2105(sum)
    32000    0.036    0.000    0.036    0.000 {method 'item' of 'numpy.generic' objects}
    80000    0.036    0.000    0.036    0.000 {built-in method math.ldexp}
     3090    0.004    0.000    0.035    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:175(Tasking)
    96000    0.035    0.000    0.035    0.000 {method 'pop' of 'list' objects}
   184000    0.035    0.000    0.035    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\symbol.py:700(<genexpr>)
    31043    0.023    0.000    0.034    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\mul.py:29(_mulsort)
     8000    0.007    0.000    0.032    0.000 <__array_function__ internals>:2(swapaxes)
    12000    0.011    0.000    0.032    0.000 <__array_function__ internals>:2(result_type)
     3090    0.010    0.000    0.031    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:170(Policy)
   152000    0.030    0.000    0.030    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\symbol.py:685(literal)
